TStamp, Trg, Frame,LED_1_PD_1, LED_1_PD_2, LED_1_PD_3, LED_1_PD_4, LED_1_PD_5, LED_1_PD_6, LED_1_PD_7, LED_1_PD_8,LED_2_PD_1, LED_2_PD_2, LED_2_PD_3, LED_2_PD_4, LED_2_PD_5, LED_2_PD_6, LED_2_PD_7, LED_2_PD_8,LED_3_PD_1, LED_3_PD_2, LED_3_PD_3, LED_3_PD_4, LED_3_PD_5, LED_3_PD_6, LED_3_PD_7, LED_3_PD_8,LED_4_PD_1, LED_4_PD_2, LED_4_PD_3, LED_4_PD_4, LED_4_PD_5, LED_4_PD_6, LED_4_PD_7, LED_4_PD_8,LED_5_PD_1, LED_5_PD_2, LED_5_PD_3, LED_5_PD_4, LED_5_PD_5, LED_5_PD_6, LED_5_PD_7, LED_5_PD_8,LED_6_PD_1, LED_6_PD_2, LED_6_PD_3, LED_6_PD_4, LED_6_PD_5, LED_6_PD_6, LED_6_PD_7, LED_6_PD_8,LED_7_PD_1, LED_7_PD_2, LED_7_PD_3, LED_7_PD_4, LED_7_PD_5, LED_7_PD_6, LED_7_PD_7, LED_7_PD_8,LED_8_PD_1, LED_8_PD_2, LED_8_PD_3, LED_8_PD_4, LED_8_PD_5, LED_8_PD_6, LED_8_PD_7, LED_8_PD_8,LED_9_PD_1, LED_9_PD_2, LED_9_PD_3, LED_9_PD_4, LED_9_PD_5, LED_9_PD_6, LED_9_PD_7, LED_9_PD_8,LED_10_PD_1, LED_10_PD_2, LED_10_PD_3, LED_10_PD_4, LED_10_PD_5, LED_10_PD_6, LED_10_PD_7, LED_10_PD_8,LED_11_PD_1, LED_11_PD_2, LED_11_PD_3, LED_11_PD_4, LED_11_PD_5, LED_11_PD_6, LED_11_PD_7, LED_11_PD_8,LED_12_PD_1, LED_12_PD_2, LED_12_PD_3, LED_12_PD_4, LED_12_PD_5, LED_12_PD_6, LED_12_PD_7, LED_12_PD_8,LED_13_PD_1, LED_13_PD_2, LED_13_PD_3, LED_13_PD_4, LED_13_PD_5, LED_13_PD_6, LED_13_PD_7, LED_13_PD_8,LED_14_PD_1, LED_14_PD_2, LED_14_PD_3, LED_14_PD_4, LED_14_PD_5, LED_14_PD_6, LED_14_PD_7, LED_14_PD_8,LED_15_PD_1, LED_15_PD_2, LED_15_PD_3, LED_15_PD_4, LED_15_PD_5, LED_15_PD_6, LED_15_PD_7, LED_15_PD_8,LED_16_PD_1, LED_16_PD_2, LED_16_PD_3, LED_16_PD_4, LED_16_PD_5, LED_16_PD_6, LED_16_PD_7, LED_16_PD_8
1666172210.933423,0.000000,0.000000,6320.000000,4839.000000,3697.000000,3991.000000,3467.000000,4244.000000,3716.000000,3707.000000,7000.000000,5010.000000,3752.000000,4023.000000,3494.000000,4305.000000,3839.000000,3818.000000,5904.000000,4904.000000,3732.000000,4010.000000,3482.000000,4274.000000,3785.000000,3379.000000,10317.000000,5487.000000,3899.000000,4085.000000,3555.000000,4489.000000,4154.000000,3084.000000,12923.000000,5605.000000,3852.000000,3705.000000,3267.000000,4441.000000,4213.000000,2458.000000,13080.000000,5442.000000,3444.000000,2412.000000,2216.000000,3956.000000,4101.000000,2582.000000,13118.000000,5442.000000,3404.000000,2306.000000,2135.000000,3907.000000,4120.000000,3335.000000,13181.000000,5352.000000,3170.000000,2067.000000,1906.000000,3645.000000,4058.000000,6195.000000,13028.000000,5235.000000,2735.000000,2051.000000,1790.000000,2995.000000,3973.000000,6293.000000,13102.000000,5337.000000,2867.000000,1998.000000,1757.000000,3168.000000,4028.000000,5798.000000,12968.000000,5365.000000,3028.000000,2002.000000,1758.000000,3363.000000,4055.000000,5602.000000,12988.000000,5553.000000,3624.000000,2601.000000,2167.000000,4117.000000,4205.000000,4989.000000,11096.000000,5432.000000,3882.000000,4081.000000,3550.000000,4469.000000,4106.000000,3557.000000,4837.000000,4570.000000,3637.000000,3979.000000,3449.000000,4136.000000,3514.000000,2306.000000,5924.000000,4740.000000,3680.000000,3991.000000,3464.000000,4189.000000,3621.000000,2360.000000,3998.000000,4340.000000,3542.000000,3929.000000,3405.000000,4010.000000,3351.000000,2410.000000
1666172211.292639,0.000000,0.000000,6089.000000,4841.000000,3700.000000,3988.000000,3469.000000,4243.000000,3724.000000,3615.000000,7059.000000,5025.000000,3757.000000,4017.000000,3495.000000,4310.000000,3851.000000,4331.000000,6042.000000,4905.000000,3727.000000,4006.000000,3482.000000,4273.000000,3772.000000,3775.000000,10243.000000,5481.000000,3895.000000,4082.000000,3555.000000,4482.000000,4151.000000,4784.000000,12925.000000,5600.000000,3856.000000,3704.000000,3267.000000,4437.000000,4241.000000,4737.000000,12935.000000,5442.000000,3444.000000,2409.000000,2214.000000,3962.000000,4107.000000,3512.000000,12993.000000,5452.000000,3402.000000,2306.000000,2138.000000,3906.000000,4106.000000,2540.000000,13152.000000,5357.000000,3168.000000,2069.000000,1905.000000,3641.000000,4035.000000,2588.000000,12995.000000,5232.000000,2734.000000,2053.000000,1792.000000,2988.000000,3980.000000,3112.000000,12931.000000,5327.000000,2864.000000,1997.000000,1754.000000,3163.000000,4037.000000,5445.000000,12946.000000,5378.000000,3030.000000,2002.000000,1757.000000,3364.000000,4073.000000,6563.000000,13187.000000,5555.000000,3622.000000,2597.000000,2164.000000,4120.000000,4194.000000,6343.000000,11100.000000,5420.000000,3880.000000,4082.000000,3550.000000,4468.000000,4107.000000,4935.000000,4787.000000,4561.000000,3638.000000,3979.000000,3449.000000,4133.000000,3526.000000,2875.000000,5695.000000,4749.000000,3679.000000,3988.000000,3463.000000,4194.000000,3630.000000,2561.000000,3971.000000,4346.000000,3546.000000,3930.000000,3407.000000,4013.000000,3338.000000,2263.000000
1666172211.636292,0.000000,0.000000,6200.000000,4839.000000,3701.000000,3993.000000,3465.000000,4238.000000,3712.000000,2370.000000,7021.000000,5017.000000,3753.000000,4023.000000,3492.000000,4302.000000,3844.000000,2617.000000,5925.000000,4902.000000,3729.000000,4010.000000,3477.000000,4270.000000,3774.000000,3585.000000,10284.000000,5499.000000,3895.000000,4081.000000,3549.000000,4486.000000,4163.000000,5954.000000,12989.000000,5604.000000,3850.000000,3702.000000,3268.000000,4442.000000,4223.000000,5974.000000,12962.000000,5436.000000,3445.000000,2410.000000,2215.000000,3956.000000,4111.000000,5822.000000,12971.000000,5442.000000,3403.000000,2305.000000,2134.000000,3913.000000,4126.000000,4686.000000,13098.000000,5354.000000,3167.000000,2069.000000,1908.000000,3645.000000,4045.000000,3797.000000,12999.000000,5233.000000,2733.000000,2052.000000,1791.000000,2991.000000,3954.000000,2584.000000,13133.000000,5335.000000,2868.000000,1998.000000,1754.000000,3159.000000,4012.000000,2554.000000,12912.000000,5364.000000,3032.000000,2002.000000,1757.000000,3355.000000,4064.000000,3020.000000,12999.000000,5552.000000,3624.000000,2602.000000,2168.000000,4116.000000,4202.000000,5256.000000,11028.000000,5424.000000,3882.000000,4081.000000,3546.000000,4472.000000,4121.000000,5492.000000,4913.000000,4573.000000,3637.000000,3979.000000,3449.000000,4140.000000,3517.000000,3429.000000,5771.000000,4744.000000,3676.000000,3994.000000,3466.000000,4196.000000,3631.000000,3508.000000,4013.000000,4338.000000,3546.000000,3932.000000,3405.000000,4014.000000,3356.000000,2783.000000
1666172212.011213,0.000000,0.000000,6115.000000,4841.000000,3699.000000,3996.000000,3465.000000,4243.000000,3717.000000,2851.000000,7032.000000,5020.000000,3752.000000,4019.000000,3493.000000,4302.000000,3827.000000,2365.000000,6117.000000,4904.000000,3727.000000,4011.000000,3484.000000,4272.000000,3758.000000,2370.000000,10340.000000,5490.000000,3896.000000,4087.000000,3550.000000,4481.000000,4161.000000,2904.000000,12969.000000,5601.000000,3855.000000,3706.000000,3264.000000,4441.000000,4240.000000,5154.000000,12983.000000,5450.000000,3444.000000,2409.000000,2214.000000,3962.000000,4125.000000,6450.000000,13103.000000,5444.000000,3403.000000,2306.000000,2134.000000,3915.000000,4122.000000,6082.000000,13158.000000,5345.000000,3165.000000,2069.000000,1906.000000,3648.000000,4048.000000,5691.000000,13023.000000,5225.000000,2734.000000,2051.000000,1794.000000,2991.000000,3977.000000,4794.000000,12883.000000,5322.000000,2864.000000,1998.000000,1754.000000,3163.000000,4024.000000,3734.000000,12997.000000,5371.000000,3031.000000,2001.000000,1757.000000,3357.000000,4043.000000,2585.000000,13148.000000,5556.000000,3620.000000,2600.000000,2166.000000,4118.000000,4176.000000,2530.000000,11158.000000,5420.000000,3883.000000,4086.000000,3547.000000,4466.000000,4119.000000,2896.000000,4850.000000,4566.000000,3639.000000,3973.000000,3446.000000,4137.000000,3529.000000,3013.000000,5696.000000,4750.000000,3677.000000,3990.000000,3466.000000,4199.000000,3639.000000,3840.000000,4082.000000,4344.000000,3540.000000,3927.000000,3410.000000,4018.000000,3345.000000,3046.000000
1666172212.354884,0.000000,0.000000,6168.000000,4842.000000,3697.000000,3990.000000,3468.000000,4242.000000,3720.000000,3564.000000,7092.000000,5011.000000,3755.000000,4019.000000,3493.000000,4308.000000,3854.000000,3336.000000,5872.000000,4904.000000,3727.000000,4007.000000,3483.000000,4275.000000,3767.000000,2804.000000,10219.000000,5501.000000,3895.000000,4082.000000,3554.000000,4481.000000,4143.000000,2534.000000,13155.000000,5614.000000,3857.000000,3704.000000,3268.000000,4436.000000,4205.000000,2535.000000,12962.000000,5437.000000,3443.000000,2408.000000,2214.000000,3953.000000,4113.000000,2877.000000,13067.000000,5446.000000,3406.000000,2307.000000,2133.000000,3912.000000,4121.000000,5204.000000,13054.000000,5359.000000,3171.000000,2071.000000,1906.000000,3648.000000,4067.000000,6178.000000,13079.000000,5234.000000,2737.000000,2051.000000,1790.000000,2996.000000,3966.000000,5644.000000,13048.000000,5329.000000,2863.000000,1999.000000,1755.000000,3168.000000,4032.000000,5401.000000,12923.000000,5368.000000,3030.000000,2001.000000,1755.000000,3362.000000,4069.000000,4451.000000,12950.000000,5552.000000,3622.000000,2598.000000,2169.000000,4123.000000,4185.000000,3710.000000,11021.000000,5424.000000,3883.000000,4083.000000,3550.000000,4465.000000,4099.000000,2480.000000,5017.000000,4568.000000,3638.000000,3978.000000,3451.000000,4134.000000,3510.000000,2303.000000,5714.000000,4745.000000,3678.000000,3995.000000,3463.000000,4191.000000,3637.000000,2466.000000,4014.000000,4345.000000,3543.000000,3929.000000,3401.000000,4016.000000,3350.000000,2739.000000
1666172212.714068,0.000000,0.000000,6140.000000,4854.000000,3697.000000,3989.000000,3465.000000,4243.000000,3727.000000,3988.000000,7102.000000,5017.000000,3754.000000,4018.000000,3494.000000,4309.000000,3843.000000,4100.000000,5992.000000,4902.000000,3727.000000,4009.000000,3481.000000,4278.000000,3765.000000,3658.000000,10316.000000,5483.000000,3897.000000,4085.000000,3554.000000,4484.000000,4170.000000,4630.000000,12956.000000,5598.000000,3853.000000,3705.000000,3261.000000,4441.000000,4222.000000,3730.000000,13116.000000,5444.000000,3448.000000,2411.000000,2212.000000,3955.000000,4105.000000,2598.000000,13164.000000,5442.000000,3404.000000,2309.000000,2135.000000,3910.000000,4095.000000,2508.000000,13027.000000,5358.000000,3166.000000,2068.000000,1904.000000,3637.000000,4049.000000,2825.000000,13010.000000,5234.000000,2736.000000,2052.000000,1790.000000,2990.000000,3970.000000,4552.000000,12900.000000,5340.000000,2867.000000,1996.000000,1755.000000,3172.000000,4042.000000,6343.000000,13048.000000,5363.000000,3036.000000,2000.000000,1759.000000,3367.000000,4058.000000,5733.000000,13007.000000,5560.000000,3623.000000,2603.000000,2168.000000,4122.000000,4190.000000,5553.000000,11092.000000,5416.000000,3881.000000,4080.000000,3548.000000,4468.000000,4116.000000,4218.000000,4828.000000,4573.000000,3634.000000,3978.000000,3448.000000,4141.000000,3521.000000,2576.000000,5758.000000,4750.000000,3680.000000,3991.000000,3466.000000,4193.000000,3628.000000,2324.000000,4122.000000,4343.000000,3541.000000,3929.000000,3407.000000,4015.000000,3336.000000,2271.000000
1666172213.057856,0.000000,0.000000,6099.000000,4849.000000,3697.000000,3993.000000,3464.000000,4238.000000,3727.000000,2452.000000,7008.000000,5021.000000,3755.000000,4020.000000,3489.000000,4306.000000,3851.000000,3487.000000,5910.000000,4909.000000,3729.000000,4007.000000,3480.000000,4278.000000,3783.000000,4346.000000,10360.000000,5493.000000,3898.000000,4086.000000,3554.000000,4491.000000,4164.000000,5749.000000,13027.000000,5608.000000,3848.000000,3705.000000,3267.000000,4441.000000,4228.000000,6042.000000,13020.000000,5442.000000,3443.000000,2410.000000,2212.000000,3956.000000,4127.000000,4943.000000,13027.000000,5438.000000,3403.000000,2307.000000,2132.000000,3916.000000,4111.000000,4070.000000,13040.000000,5360.000000,3169.000000,2068.000000,1903.000000,3640.000000,4043.000000,2694.000000,13148.000000,5235.000000,2730.000000,2053.000000,1789.000000,2987.000000,3945.000000,2514.000000,12946.000000,5332.000000,2862.000000,1997.000000,1755.000000,3154.000000,4035.000000,2815.000000,13038.000000,5362.000000,3031.000000,2002.000000,1757.000000,3361.000000,4069.000000,4062.000000,13059.000000,5559.000000,3620.000000,2599.000000,2167.000000,4126.000000,4205.000000,6421.000000,11167.000000,5418.000000,3879.000000,4082.000000,3552.000000,4471.000000,4112.000000,5391.000000,4921.000000,4564.000000,3635.000000,3977.000000,3447.000000,4139.000000,3520.000000,3190.000000,5719.000000,4742.000000,3678.000000,3990.000000,3465.000000,4190.000000,3642.000000,3064.000000,4001.000000,4344.000000,3542.000000,3929.000000,3403.000000,4019.000000,3341.000000,2534.000000
1666172213.432846,0.000000,0.000000,6101.000000,4849.000000,3699.000000,3989.000000,3469.000000,4237.000000,3719.000000,2391.000000,7147.000000,5019.000000,3751.000000,4024.000000,3492.000000,4306.000000,3826.000000,2358.000000,5914.000000,4905.000000,3731.000000,4008.000000,3482.000000,4266.000000,3768.000000,2476.000000,10342.000000,5496.000000,3890.000000,4083.000000,3548.000000,4479.000000,4158.000000,4297.000000,12909.000000,5624.000000,3852.000000,3705.000000,3261.000000,4446.000000,4237.000000,6997.000000,12953.000000,5455.000000,3443.000000,2411.000000,2214.000000,3957.000000,4120.000000,6007.000000,13154.000000,5442.000000,3399.000000,2309.000000,2135.000000,3913.000000,4116.000000,5903.000000,13046.000000,5346.000000,3168.000000,2069.000000,1904.000000,3642.000000,4069.000000,4765.000000,13012.000000,5229.000000,2735.000000,2050.000000,1793.000000,2997.000000,3956.000000,4115.000000,12883.000000,5336.000000,2865.000000,1995.000000,1758.000000,3160.000000,4020.000000,2771.000000,13054.000000,5368.000000,3030.000000,2002.000000,1756.000000,3358.000000,4038.000000,2516.000000,12961.000000,5560.000000,3621.000000,2597.000000,2165.000000,4117.000000,4189.000000,2728.000000,11104.000000,5424.000000,3883.000000,4082.000000,3546.000000,4461.000000,4120.000000,3996.000000,4845.000000,4572.000000,3633.000000,3970.000000,3443.000000,4140.000000,3530.000000,3587.000000,5770.000000,4746.000000,3679.000000,3992.000000,3466.000000,4194.000000,3634.000000,3544.000000,4096.000000,4349.000000,3542.000000,3928.000000,3405.000000,4017.000000,3338.000000,2917.000000
1666172213.776427,0.000000,0.000000,6056.000000,4838.000000,3693.000000,3990.000000,3469.000000,4242.000000,3734.000000,3458.000000,7051.000000,5018.000000,3758.000000,4022.000000,3492.000000,4310.000000,3834.000000,3046.000000,5867.000000,4914.000000,3727.000000,4009.000000,3479.000000,4276.000000,3764.000000,2423.000000,10337.000000,5488.000000,3899.000000,4084.000000,3556.000000,4483.000000,4137.000000,2444.000000,12950.000000,5604.000000,3855.000000,3704.000000,3262.000000,4435.000000,4221.000000,2686.000000,13079.000000,5433.000000,3446.000000,2409.000000,2211.000000,3950.000000,4126.000000,4195.000000,13005.000000,5447.000000,3399.000000,2306.000000,2134.000000,3914.000000,4125.000000,6492.000000,13192.000000,5356.000000,3164.000000,2068.000000,1905.000000,3642.000000,4066.000000,5808.000000,13153.000000,5229.000000,2730.000000,2051.000000,1791.000000,2989.000000,3958.000000,5538.000000,12967.000000,5323.000000,2863.000000,1997.000000,1756.000000,3158.000000,4045.000000,4714.000000,12951.000000,5362.000000,3030.000000,2003.000000,1755.000000,3364.000000,4043.000000,4041.000000,12917.000000,5568.000000,3625.000000,2601.000000,2165.000000,4122.000000,4188.000000,2849.000000,11288.000000,5423.000000,3884.000000,4082.000000,3549.000000,4468.000000,4095.000000,2416.000000,4835.000000,4566.000000,3634.000000,3974.000000,3448.000000,4132.000000,3515.000000,2357.000000,5727.000000,4747.000000,3679.000000,3994.000000,3462.000000,4191.000000,3644.000000,2815.000000,3974.000000,4348.000000,3543.000000,3930.000000,3405.000000,4021.000000,3349.000000,3152.000000
1666172214.135740,0.000000,0.000000,6079.000000,4843.000000,3695.000000,3991.000000,3469.000000,4240.000000,3730.000000,3999.000000,7173.000000,5017.000000,3749.000000,4022.000000,3492.000000,4308.000000,3835.000000,3902.000000,5861.000000,4902.000000,3723.000000,4012.000000,3483.000000,4274.000000,3783.000000,3264.000000,10178.000000,5492.000000,3898.000000,4087.000000,3553.000000,4486.000000,4146.000000,3911.000000,12880.000000,5607.000000,3857.000000,3704.000000,3267.000000,4444.000000,4216.000000,2865.000000,13062.000000,5440.000000,3444.000000,2410.000000,2216.000000,3954.000000,4094.000000,2516.000000,13044.000000,5440.000000,3403.000000,2309.000000,2133.000000,3914.000000,4101.000000,2748.000000,13059.000000,5360.000000,3168.000000,2068.000000,1907.000000,3640.000000,4065.000000,4239.000000,13008.000000,5235.000000,2732.000000,2054.000000,1788.000000,2996.000000,3973.000000,10719.000000,13022.000000,5333.000000,2864.000000,1995.000000,1756.000000,3166.000000,4035.000000,7131.000000,13047.000000,5373.000000,3027.000000,2001.000000,1754.000000,3367.000000,4051.000000,6742.000000,12999.000000,5551.000000,3622.000000,2600.000000,2171.000000,4119.000000,4202.000000,5332.000000,11070.000000,5422.000000,3882.000000,4083.000000,3543.000000,4471.000000,4097.000000,3973.000000,4830.000000,4572.000000,3637.000000,3974.000000,3447.000000,4137.000000,3514.000000,2369.000000,5855.000000,4748.000000,3680.000000,3992.000000,3462.000000,4195.000000,3619.000000,2335.000000,3989.000000,4348.000000,3541.000000,3929.000000,3404.000000,4012.000000,3337.000000,2341.000000
